month,hour,count
1,0,530
1,1,208
1,2,137
1,3,124
1,4,96
1,5,133
1,6,142
1,7,120
1,8,65
1,9,70
1,10,67
1,11,63
1,12,98
1,13,72
1,14,77
1,15,90
1,16,106
1,17,322
1,18,513
1,19,595
1,20,601
1,21,538
1,22,425
1,23,350
2,0,210
2,1,167
2,2,118
2,3,101
2,4,63
2,5,121
2,6,102
2,7,73
2,8,58
2,9,65
2,10,65
2,11,68
2,12,70
2,13,81
2,14,77
2,15,87
2,16,87
2,17,182
2,18,336
2,19,582
2,20,598
2,21,522
2,22,389
2,23,290
3,0,296
3,1,186
3,2,130
3,3,123
3,4,104
3,5,101
3,6,94
3,7,65
3,8,61
3,9,67
3,10,73
3,11,88
3,12,86
3,13,100
3,14,107
3,15,100
3,16,105
3,17,119
3,18,248
3,19,546
3,20,756
3,21,719
3,22,584
3,23,421
4,0,311
4,1,200
4,2,148
4,3,125
4,4,98
4,5,85
4,6,59
4,7,49
4,8,75
4,9,71
4,10,87
4,11,92
4,12,101
4,13,113
4,14,95
4,15,100
4,16,98
4,17,116
4,18,135
4,19,216
4,20,630
4,21,1008
4,22,808
4,23,542
5,0,341
5,1,212
5,2,157
5,3,148
5,4,125
5,5,72
5,6,29
5,7,35
5,8,49
5,9,77
5,10,92
5,11,85
5,12,117
5,13,123
5,14,117
5,15,97
5,16,107
5,17,121
5,18,120
5,19,187
5,20,434
5,21,874
5,22,829
5,23,610
6,0,515
6,1,357
6,2,295
6,3,249
6,4,136
6,5,80
6,6,55
6,7,49
6,8,63
6,9,90
6,10,152
6,11,136
6,12,217
6,13,182
6,14,164
6,15,197
6,16,173
6,17,193
6,18,211
6,19,304
6,20,559
6,21,1100
6,22,1365
6,23,1058
7,0,692
7,1,468
7,2,316
7,3,262
7,4,165
7,5,97
7,6,35
7,7,45
7,8,60
7,9,91
7,10,128
7,11,128
7,12,149
7,13,148
7,14,174
7,15,162
7,16,132
7,17,157
7,18,216
7,19,299
7,20,592
7,21,1599
7,22,1992
7,23,1306
8,0,566
8,1,383
8,2,281
8,3,227
8,4,174
8,5,170
8,6,73
8,7,44
8,8,60
8,9,92
8,10,131
8,11,136
8,12,147
8,13,135
8,14,125
8,15,141
8,16,129
8,17,163
8,18,195
8,19,324
8,20,792
8,21,1464
8,22,1467
8,23,1031
9,0,344
9,1,259
9,2,185
9,3,184
9,4,163
9,5,184
9,6,119
9,7,86
9,8,79
9,9,99
9,10,107
9,11,98
9,12,108
9,13,90
9,14,109
9,15,118
9,16,131
9,17,181
9,18,249
9,19,634
9,20,1110
9,21,1222
9,22,901
9,23,663
10,0,310
10,1,282
10,2,207
10,3,158
10,4,132
10,5,143
10,6,177
10,7,131
10,8,106
10,9,102
10,10,105
10,11,87
10,12,90
10,13,100
10,14,118
10,15,122
10,16,171
10,17,218
10,18,415
10,19,866
10,20,1048
10,21,907
10,22,744
10,23,533
11,0,299
11,1,214
11,2,170
11,3,134
11,4,119
11,5,204
11,6,143
11,7,82
11,8,53
11,9,69
11,10,72
11,11,75
11,12,80
11,13,75
11,14,72
11,15,104
11,16,182
11,17,412
11,18,757
11,19,843
11,20,733
11,21,674
11,22,556
11,23,450
12,0,240
12,1,172
12,2,135
12,3,111
12,4,108
12,5,151
12,6,161
12,7,101
12,8,62
12,9,53
12,10,63
12,11,68
12,12,72
12,13,62
12,14,61
12,15,93
12,16,166
12,17,362
12,18,532
12,19,598
12,20,592
12,21,556
12,22,508
12,23,490
