Word,Frequency
light,14131
lights,13545
over,12974
I,12782
was,11668
object,11663
sky,10534
at,10300
with,9551
on,8257
bright,8174
moving,8128
from,7034
then,6876
it,6230
white,5665
saw,5554
my,5485
shaped,5337
that,5287
seen,5083
orange,4909
very,4770
red,4671
like,4289
flying,4229
A,4098
for,4058
craft,3974
Bright,3927
sky.,3608
3,3524
no,3516
across,3458
were,3409
objects,3385
UFO,3328
about,3272
out,3149
an,3083
above,3069
2,3063
by,3035
up,3025
night,3011
or,2839
one,2819
hovering,2791
It,2769
as,2625
Note:,2571
PD)),2519
((NUFORC,2516
high,2441
i,2320
shape,2307
large,2266
two,2241
slowly,2231
fast,2204
green,2201
into,2147
we,2085
moved,2049
Two,2047
triangle,2033
blue,1988
The,1978
Orange,1974
around,1946
looked,1944
formation,1930
north,1913
not,1912
ball,1888
west,1887
appeared,1881
south,1875
low,1854
be,1848
east,1825
traveling,1815
glowing,1813
but,1811
near,1795
when,1785
off,1748
just,1727
flashing,1711
speed,1702
triangular,1596
sky&#44,1592
5,1591
star,1576
sighting,1513
4,1476
fireball,1456
had,1442
We,1436
this,1424
Large,1421
three,1393
round,1370
-,1358
Lights,1319
Object,1307
observed,1257
Light,1244
our,1242
circular,1241
sphere,1236
flew,1233
what,1225
Red,1219
small,1212
down,1203
have,1194
back,1189
sound,1184
lights&#44,1180
Three,1164
looking,1134
My,1118
went,1107
is,1096
other,1091
slow,1082
than,1081
driving,1081
black,1063
White,1052
going,1035
me,1034
minutes,1030
oval,1024
noticed,1020
after,1012
strange,1008
spotted,1002
Strange,989
lights.,989
same,989
&amp;,988
THE,982
through,977
straight,976
all,975
see,971
clear,953
while,951
before,948
outside,945
disappeared,941
each,941
light&#44,939
Very,938
orb,935
they,923
away,919
aircraft,914
which,888
IN,880
feet,875
Triangle,875
orbs,873
hovered,861
changing,859
time,854
home,849
10,839
1,838
On,835
side,835
towards,829
colored,827
first,821
stationary,821
Saw,814
blinking,810
witnessed,805
silver,804
direction,804
right,803
line,803
Possible,802
yellow,799
&#44,790
area,787
changed,787
came,779
color,777
close,772
behind,766
ufo,766
Triangular,763
left,762
North,753
seconds,750
silent,749
made,746
flash,746
heading,742
light.,739
move,736
there,736
fire,736
house,734
disk,719
At,717
dark,714
size,714
floating,707
circle,706
coming,683
quickly,679
disappeared.,678
6,677
balls,674
altitude,674
thought,669
followed,661
Green,656
us,654
AND,654
horizon,653
30,653
cigar,650
some,649
stars,645
seemed,645
different,636
several,634
object&#44,633
sighted,629
ground,627
car,612
front,610
speed.,604
suddenly,604
rate,602
South,600
saucer,599
20,598
plane,597
it.,593
Black,586
sound.,580
big,579
Fireball,576
silently,572
New,562
friend,559
huge,558
East,557
West,554
This,549
could,548
cloud,546
so,543
air,543
15,543
shooting,539
tree,538
travelling,537
Sighting,534
Lake,533
One,528
long,527
noise,526
disc,525
during,523
spheres,521
turned,521
something,520
shot,519
few,517
.,515
Craft,513
toward,513
OF,512
7,512
While,512
way,507
falling,505
In,505
Glowing,505
fly,503
lit,496
There,491
WAS,490
extremely,489
miles,488
smaller,486
TO,482
witness,481
approximately,476
Blue,475
overhead,475
am,474
look,472
clouds,471
making,470
four,467
No,463
between,461
San,460
Four,455
any,452
almost,452
only,451
stopped,450
bright&#44,448
rapidly,448
top,446
along,445
((HOAX??)),445
sitting,443
trail,443
would,439
CA,438
took,437
8,436
object.,436
red&#44,435
wife,434
moon,431
pulsating,428
another,428
got,426
directly,425
more,424
tail,424
if,421
pattern,420
morning,420
Flying,415
Over,415
day,413
colors,412
disappearing,410
diamond,408
western,408
jet,405
They,404
minutes.,403
following,403
fireballs,403
watching,402
witnesses,402
LIGHT,401
many,399
amber,399
July,398
crafts,394
Sky,394
streak,393
times,390
did,390
been,385
moves,383
night.,379
window,379
walking,376
evening,376
V,371
pm,371
An,367
still,366
people,366
metallic,363
lighted,363
second,362
BRIGHT,362
500,361
its,361
until,359
faded,356
too,356
Small,354
formation.,352
Fast,351
where,350
eastern,350
road,350
without,349
early,348
As,347
Moving,346
OBJECT,345
type,344
are,343
glow,343
away.,343
seconds.,342
UFO&#39s,342
within,342
multiple,341
dim,339
w/,336
Round,336
southern,335
Silver,334
work,332
passed,329
disappears,328
IT,327
bottom,325
appear,325
daylight,325
degrees,324
area.,322
visible,322
flight,321
distance,321
Huge,320
started,319
space,319
leaving,318
Observed,318
go,317
spherical,317
sound&#44,317
craft&#44,317
AT,316
OVER,315
degree,315
never,315
Multiple,315
vanished,315
REPORT:,314
45,312
rotating,311
below,309
LIGHTS,306
skies,306
them,306
white&#44,306
Hovering,305
approx.,305
watched,304
Flashing,304
city,304
ft,302
field,302
cylinder,302
turn,301
being,300
large&#44,300
point,299
fast.,299
Ball,298
friends,297
rectangular,297
craft.,297
heard,297
center,296
you,292
horizon.,292
viewed,292
appearing,291
flashes,291
report,288
VERY,287
appears,286
Silent,286
thing,285
NE,285
UFOs,285
Oval,285
ground.,284
together,284
beam,283
northern,283
single,282
fast&#44,281
Sphere,280
Slow,279
years,278
traveled,276
directions,275
Circular,275
circles,275
shape&#44,273
five,273
NW,273
MY,273
standing,272
trees,271
Man,270
9,270
ship,270
Star,269
ocean,269
hover,268
